StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_3,Q4_1,Q4_2,Q4_5
2024-03-27 16:42:06,2024-03-27 16:44:09,IP Address,128.250.0.54,100,123,True,2024-03-27 16:44:09,R_4kSxMZiuumCEDVT,,,,,-37.8159,144.9669,qr,EN,9,Male,25,,2,,7
2024-03-27 18:38:00,2024-03-27 18:42:33,IP Address,128.250.0.54,100,273,True,2024-03-27 18:42:34,R_4374ZQq7UJPcl3a,,,,,-37.8159,144.9669,qr,EN,10,Female,24,2,1,,
2024-03-28 10:19:58,2024-03-28 10:37:03,IP Address,128.250.0.54,100,1024,True,2024-03-28 10:37:03,R_401zxu4Zt7v12N1,,,,,-37.8159,144.9669,qr,EN,11,Female,19,3,2,2,5
2024-03-28 13:51:41,2024-03-28 14:26:15,IP Address,128.250.0.54,100,2074,True,2024-03-28 14:26:16,R_447dJoAHMzB2bHR,,,,,-37.8159,144.9669,qr,EN,12,Female,29,3,2,3,2
2024-04-04 17:44:09,2024-04-04 18:15:26,IP Address,128.250.0.54,100,1877,True,2024-04-04 18:15:27,R_42RBVe8kN6Ul6uJ,,,,,-37.8159,144.9669,qr,EN,13,Female,23,1,2,2,4
2024-04-05 14:18:43,2024-04-05 14:26:53,IP Address,128.250.0.54,100,489,True,2024-04-05 14:26:53,R_42VulXdlMS3JYYP,,,,,-37.8159,144.9669,qr,EN,14,Male,30,1,,,
2024-04-05 17:49:43,2024-04-05 18:11:24,IP Address,128.250.0.54,100,1301,True,2024-04-05 18:11:25,R_4bNaRv4GNXVfoxH,,,,,-37.8159,144.9669,qr,EN,15,Male,36,6,1,1,3
2024-04-08 10:41:23,2024-04-08 10:46:53,IP Address,128.250.0.54,100,329,True,2024-04-08 10:46:54,R_42DWQ6XuqmmYiZe,,,,,-37.8159,144.9669,qr,EN,7,Male,30,3,1,,3
2024-04-08 14:05:17,2024-04-08 14:07:41,IP Address,128.250.0.54,100,143,True,2024-04-08 14:07:42,R_43hJvbxZhjZ5lFT,,,,,-37.8159,144.9669,qr,EN,16,Female,33,3,3,,2
2024-04-08 16:10:57,2024-04-08 16:12:14,IP Address,128.250.0.54,100,77,True,2024-04-08 16:12:14,R_4qeCVtxohCpTO8a,,,,,-37.8159,144.9669,qr,EN,17,Male,31,4,6,1,2
2024-04-08 17:53:19,2024-04-08 18:01:27,IP Address,128.250.0.54,100,487,True,2024-04-08 18:01:27,R_4D6ChbbluLbOnTb,,,,,-37.8159,144.9669,qr,EN,1068596,Female,25,,,,
2024-04-08 21:21:34,2024-04-08 21:22:19,IP Address,128.250.0.54,100,44,True,2024-04-08 21:22:19,R_4nOR5pZ5YhuP3bz,,,,,-37.8159,144.9669,qr,EN,18,Female,33,5,1,1,6
2024-04-09 19:46:07,2024-04-09 19:47:00,IP Address,128.250.0.54,100,52,True,2024-04-09 19:47:00,R_4qyCmIZtA3LSdRn,,,,,-37.8159,144.9669,qr,EN,18m,Male,28,3,1,4,3
2024-04-10 11:34:41,2024-04-10 11:40:28,IP Address,128.250.0.54,100,346,True,2024-04-10 11:40:29,R_4rePkOogsY3S7CN,,,,,-37.8159,144.9669,qr,EN,20,Female,26,1,1,1,1
2024-04-10 17:02:46,2024-04-10 17:03:59,IP Address,128.250.0.54,100,72,True,2024-04-10 17:03:59,R_472PCtWvLmXJCoA,,,,,-37.8159,144.9669,qr,EN,19,Male,24,5,5,5,3
2024-04-10 18:48:56,2024-04-10 18:49:38,IP Address,128.250.0.54,100,42,True,2024-04-10 18:49:39,R_4PBdhAGAG8uqxSs,,,,,-37.8159,144.9669,qr,EN,21,Male,27,2,5,2,7
2024-04-10 20:07:21,2024-04-10 20:08:26,IP Address,128.250.0.54,100,65,True,2024-04-10 20:08:27,R_4dlFM6ujtRvn9Pr,,,,,-37.8159,144.9669,qr,EN,22,Male,24,5,,,3
2024-04-11 14:04:13,2024-04-11 14:07:00,IP Address,128.250.0.54,100,166,True,2024-04-11 14:07:01,R_4E4sWpPC4G3bplx,,,,,-37.8159,144.9669,qr,EN,23,Female,25,3,2,,7
2024-04-11 16:01:27,2024-04-11 16:02:55,IP Address,128.250.0.54,100,87,True,2024-04-11 16:02:56,R_4fVl9XMUuhx3J6m,,,,,-37.8159,144.9669,qr,EN,24,Male,36,4,4,1,6
