pid,condition,trial,average_mt,average_skip_first_mt,gender,age,video_games,mixed_reality,interact_robot,coordination
16,C,2,13.78161,14.662611111111111,Female,33,3,3,1,2
17,C,2,7.93515,8.557133333333333,Male,31,4,6,1,2
18,C,2,17.36242,17.802844444444446,Male,28,3,1,4,3
19,C,2,8.59503,7.920344444444445,Male,24,5,5,5,3
20,C,2,16.58891,17.591033333333332,Female,26,1,1,1,1
21,C,2,5.49185,5.3559777777777775,Male,27,2,5,2,7
22,C,2,3.5326,3.6181333333333328,Male,24,5,1,1,3
23,C,2,3.69885,3.4818111111111114,Female,25,3,2,1,7
24,C,2,17.05514,17.303922222222223,Male,36,4,4,1,6
1,D,2,5.87582,5.827644444444443,Male,25,4,1,1,3
2,D,2,8.1717,8.466566666666665,Female,30,4,3,1,3
3,D,2,7.15307,7.188488888888888,Female,22,4,1,1,5
4,D,2,10.83227,11.128433333333334,Male,25,4,1,1,2
5,D,2,5.94365,5.648999999999999,Female,24,4,2,2,3
6,D,2,6.64546,6.553055555555556,Female,19,5,1,1,2
7,D,2,10.64976,10.951555555555556,Male,30,3,1,1,3
8,D,2,9.74052,9.8403,Male,30,3,2,1,4
9,D,2,10.341847272727271,21.02778888888889,Male,25,1,2,1,7
10,D,2,6.12539,5.889733333333333,Female,24,2,1,1,1
11,D,2,8.689440000000001,9.072022222222223,Female,19,3,2,2,5
12,D,2,8.78341,9.046055555555556,Female,29,3,2,3,2
13,D,2,17.24905,18.373344444444445,Female,23,1,2,2,4
14,D,2,20.63482,20.85542222222222,Male,30,1,1,1,1
15,D,2,13.04712,14.081377777777778,Male,36,6,1,1,3
16,D,2,8.60006,9.022333333333334,Female,33,3,3,1,2
17,D,2,4.85654,4.555199999999999,Male,31,4,6,1,2
18,D,2,13.066579999999998,12.998455555555555,Male,28,3,1,4,3
19,D,2,4.569979999999999,4.722855555555555,Male,24,5,5,5,3
20,D,2,21.799570000000003,21.63977777777778,Female,26,1,1,1,1
21,D,2,9.5071,8.8125,Male,27,2,5,2,7
22,D,2,7.28149,6.775333333333332,Male,24,5,1,1,3
23,D,2,18.29784,18.77362222222222,Female,25,3,2,1,7
24,D,2,10.341847272727271,10.923950724637685,Male,36,4,4,1,6
