StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q6
27/03/2024 19:32,27/03/2024 19:43,IP Address,128.250.0.54,100,680,TRUE,27/03/2024 19:43,R_4lzY1SF7E9Ahq99,,,,,-37.8159,144.9669,qr,EN,10,"No, they are not sync, and the fingers of the AR arms can not show the real distance with red dots.",With my own arm was more helpful. I am familiar with my own arm. Observing its movements make me react and adjust the robot arm faster. ,Both of them are not helpful. The reasons are the same with two questions above.,1,4,3,2,"AR Robot arm is a little bit fine than AR human arms, at least it makes me feel that I can find a realistic reference substance"
28/03/2024 11:33,28/03/2024 11:37,IP Address,128.250.0.54,100,209,TRUE,28/03/2024 11:37,R_4YccccnvZ3ZiWJV,,,,,-37.8159,144.9669,qr,EN,11,"No, I think it is because when I perform the task, I am looking at the disk andnote f",No,Human,1,3,2,4,
28/03/2024 15:33,28/03/2024 15:37,IP Address,128.250.0.54,100,205,TRUE,28/03/2024 15:37,R_4q80cxitT1pPEE5,,,,,-37.8159,144.9669,qr,EN,12,Yes,Yes,Yes,3,4,1,2,No
4/04/2024 19:32,4/04/2024 19:35,IP Address,128.250.0.54,100,206,TRUE,4/04/2024 19:35,R_4r3vH1jYSaPCAI9,,,,,-37.8159,144.9669,qr,EN,13,"Not that much, I think using the rule of movement is much easier", Own arm is better because it is easier to understand the movement,"Not that much, but being helpful to some extent",4,3,1,2,The equipment is too heavy and it requires lots of physical energy
5/04/2024 15:23,5/04/2024 15:26,IP Address,128.250.0.54,100,199,TRUE,5/04/2024 15:26,R_4NP0FCTEeCMBLGL,,,,,-37.8159,144.9669,qr,EN,14,Not much because I learnt to sync with constant practice,Virtual arm in same orientation was better,Virtual human arm was better,1,3,2,4,
5/04/2024 19:29,5/04/2024 19:31,IP Address,128.250.0.54,100,137,TRUE,5/04/2024 19:31,R_40VxC0B4qrHSEA9,,,,,-37.8159,144.9669,qr,EN,15,"Yes, helping to find the distance",Same with my own arm,Human arm,4,3,1,2,
8/04/2024 14:57,8/04/2024 15:10,IP Address,128.250.0.54,100,807,TRUE,8/04/2024 15:10,R_4hX5MidKTTAHblW,,,,,-37.8159,144.9669,qr,EN,16,Not much because I was more focused on the target,"It was more helpful than the others, however it still confuse me when trying to achieve the target.","I think the virtual human arm was not very helpful for me, but it could have been better maybe if the position of the virtual arm was closer to the robot arm",1,2,4,3,"I think that the position of the virtual horizontal human arm could be more helpful if it is placed closer to the robot arm or even better if it is closer to the target, maybe it can be thinner as a human arm but if it is pointing closer to the target and next to the robot I could have use it more. In this experiment I tried to use the virtual arms but I found them confusing so I preferred to focus on the target and rotate my head in my mind"
8/04/2024 17:22,8/04/2024 17:28,IP Address,128.250.0.54,100,344,TRUE,8/04/2024 17:28,R_4CBbddsVVhS8GHn,,,,,-37.8159,144.9669,qr,EN,17,Yes Only when the human arm was rotated,Yes the rotated arm helped me to have a reference of my own arm over the machine,I prefer the human arm,2,3,1,4,It was a good experiment. The vertical human arm helped me to have a reference with the robot and it made me feel more connected with the robot
9/04/2024 20:50,9/04/2024 20:56,IP Address,128.250.0.54,100,329,TRUE,9/04/2024 20:56,R_4GCIwKbhkTlyohU,,,,,-37.8159,144.9669,qr,EN,18,I didn’t use AR arms during study,"Yes I think so but I just focus on the robot gripper, task circles, and my hand movement ",Yes ,4,1,3,2,
10/04/2024 17:52,10/04/2024 17:58,IP Address,128.250.0.54,100,385,TRUE,10/04/2024 17:58,R_4qDiIq0JINfboWt,,,,,-37.8159,144.9669,qr,EN,19,"Somewhat helpful. As I get used to the movements, they could probably be ignored.",With my own arm. Because it feels more natural.,Virtual human arm. Feels more natural. Also I can directly see the real robot arm.,3,1,2,4,
10/04/2024 12:32,10/04/2024 12:45,IP Address,128.250.0.54,100,788,TRUE,10/04/2024 12:45,R_4qQz5MVeBJn8uUp,,,,,-37.8159,144.9669,qr,EN,20,Yes. Because I can see my arm motions and my motion direction.,Yes. It shows my arm motion clearly.,Virtual human arm,1,2,3,4,
10/04/2024 19:36,10/04/2024 19:47,IP Address,128.250.0.54,100,660,TRUE,10/04/2024 19:47,R_4EHlFULfNhxajmq,,,,,-37.8159,144.9669,qr,EN,21,"Sort of, but as I was quite fast getting used to it so I gradually reduced the frequency I referred to the AR arms","With the physical robot, because with such I can manually calibrate it with my mind,  if it goes in the same orientation with my own arm, then it cannot provide much extra information ","A virtual human one for sure, because the virtual robot arm is just a simulation copy of the real robot arm and doesn’t provide much reference ",4,2,3,1,"For me all four conditions are fairly easy for me so there is not much discrepancies between my preferences, but I think an AR reference will help especially when it can provide some information about how you can calibrate yourself to better master the use of the real robot "
10/04/2024 20:56,10/04/2024 21:00,IP Address,128.250.0.54,100,224,TRUE,10/04/2024 21:00,R_4rzdLgjlkP7KCMF,,,,,-37.8159,144.9669,qr,EN,22,"Yes, it gives human confidence to control the robot.",With my own arm since it was my own arm,Virtual human arm,3,1,2,4,It’s cooool
11/04/2024 14:54,11/04/2024 15:02,IP Address,128.250.0.54,100,504,TRUE,11/04/2024 15:02,R_4KTHDliL4dWnOfq,,,,,-37.8159,144.9669,qr,EN,23,Yes,Yes,Yes,4,2,1,3,
11/04/2024 17:23,11/04/2024 17:26,IP Address,128.250.0.54,100,153,TRUE,11/04/2024 17:26,R_41bksPqCvM5WCOT,,,,,-37.8159,144.9669,qr,EN,24,Only the one that is vertical representation of the arm.,"With the robot, just need to know how the arm reacts. I can see my own arm so that’s duplicated if horizontal.",Human arm,2,4,1,3,
